episode_id,season,episode_num,character,influence_score,influence_rank,rank_change,influence_smooth
S03E08,3,8,Harold Gunderson,0.352127,2,-8,0.203977
S03E08,3,8,Louis Litt,0.352127,2,0,0.404034
S03E08,3,8,Donna Paulsen,0.188121,4,-3,0.17459
S03E08,3,8,Rachel Zane,0.153702,5,0,0.208687
S03E08,3,8,Jessica Pearson,0.114311,6,3,0.224071
S03E08,3,8,Mike Ross,0.005,7,1,0.071249
S03E08,3,8,Norma,0.005,7,-3,0.034425
S03E09,3,9,Harvey Specter,0.485321,1,0,0.493353
S03E09,3,9,Louis Litt,0.413789,2,-5,0.302473
S03E09,3,9,Jessica Pearson,0.276244,3,-1,0.199284
S03E09,3,9,Dana Scott,0.215832,4,1,0.200183
S03E09,3,9,Rachel Zane,0.159948,5,-1,0.158519
S03E09,3,9,Mike Ross,0.079544,6,4,0.124414
S03E09,3,9,Donna Paulsen,0.076791,7,-3,0.120083
S03E09,3,9,Robert Zane,0.076791,7,-2,0.082064
S03E09,3,9,Daniel Hardman,0.005505,9,3,0.045393
S03E09,3,9,Katrina Bennett,0.005505,9,-2,0.003577
S03E10,3,10,Harvey Specter,0.494737,1,0,0.489223
S03E10,3,10,Mike Ross,0.288698,2,0,0.253267
S03E10,3,10,Dana Scott,0.281931,3,0,0.251665
S03E10,3,10,Jessica Pearson,0.207296,4,-1,0.237263
S03E10,3,10,Sheila Sazs,0.172011,5,2,0.179899
S03E10,3,10,Rachel Zane,0.161907,6,-2,0.14514
S03E10,3,10,Louis Litt,0.141503,7,1,0.248326
S03E10,3,10,Brian Altman,0.119485,8,-2,0.044705
S03E10,3,10,Robert Zane,0.097593,9,3,0.099514
S03E10,3,10,Donna Paulsen,0.095337,10,3,0.10477
S03E10,3,10,Katrina Bennett,0.002256,11,6,0.073949
S03E11,3,11,Harvey Specter,0.48761,1,-1,0.46176
S03E11,3,11,Mike Ross,0.39156,2,-1,0.360054
S03E11,3,11,Dana Scott,0.257233,3,-3,0.222289
S03E11,3,11,Sheila Sazs,0.257233,3,-1,0.210743
S03E11,3,11,Jessica Pearson,0.228248,5,1,0.223491
S03E11,3,11,Louis Litt,0.189685,6,5,0.272012
S03E11,3,11,Donna Paulsen,0.142182,7,-1,0.111705
S03E11,3,11,Rachel Zane,0.113565,8,3,0.136412
S03E11,3,11,Esther Litt,0.00531,9,0,0.004488
S03E11,3,11,Benjamin,0.002655,10,3,0.041203
S03E11,3,11,Norma,0.002655,10,1,0.004438
S03E12,3,12,Louis Litt,0.484848,1,-1,0.381259
S03E12,3,12,Harvey Specter,0.402933,2,1,0.46514
S03E12,3,12,Mike Ross,0.399903,3,-2,0.306291
S03E12,3,12,Jessica Pearson,0.234929,4,0,0.211201
S03E12,3,12,Rachel Zane,0.133765,5,-3,0.083256
S03E12,3,12,Dana Scott,0.127704,6,3,0.227189
S03E12,3,12,Daniel Hardman,0.127704,6,-4,0.045661
S03E12,3,12,Donna Paulsen,0.097597,8,3,0.122397
S03E12,3,12,Trevor Evans,0.009091,9,3,0.125117
S03E12,3,12,Jenny Griffith,0.00303,10,-3,0.003202
S03E13,3,13,Harvey Specter,0.504878,1,-1,0.391366
S03E13,3,13,Louis Litt,0.469245,2,1,0.484069
S03E13,3,13,Dana Scott,0.296631,3,-5,0.163057
S03E13,3,13,Jessica Pearson,0.170425,4,-1,0.191922
S03E13,3,13,Donna Paulsen,0.127411,5,-2,0.119906
S03E13,3,13,Mike Ross,0.127411,5,-1,0.22524
S03E13,3,13,Benjamin,0.07691,7,-4,0.027074
S03E13,3,13,Rachel Zane,0.002439,8,5,0.116208
S03E14,3,14,Louis Litt,0.498113,1,0,0.483968
S03E14,3,14,Harvey Specter,0.266287,2,-1,0.359275
S03E14,3,14,Rachel Zane,0.212419,3,-6,0.100567
S03E14,3,14,Sheila Sazs,0.202984,4,-4,0.192552
S03E14,3,14,Jessica Pearson,0.170413,5,1,0.191414
S03E14,3,14,Mike Ross,0.148407,6,4,0.204077
S03E14,3,14,Donna Paulsen,0.13471,7,0,0.144459
S03E14,3,14,Dana Scott,0.064836,8,3,0.191851
S03E14,3,14,Norma,0.00566,9,-2,0.003206
S03E14,3,14,Daniel Hardman,0.003774,10,-1,0.044735
S03E15,3,15,Louis Litt,0.484545,1,-3,0.399807
S03E15,3,15,Mike Ross,0.336414,2,-1,0.29654
S03E15,3,15,Harvey Specter,0.30666,3,2,0.349106
S03E15,3,15,Jessica Pearson,0.233403,4,-4,0.158894
S03E15,3,15,Dana Scott,0.214085,5,0,0.163547
S03E15,3,15,Katrina Bennett,0.214085,5,-2,0.087623
S03E15,3,15,Donna Paulsen,0.171255,7,1,0.149642
S03E15,3,15,Sheila Sazs,0.117439,8,4,0.174282
S03E15,3,15,Rachel Zane,0.086842,9,2,0.135615
S03E15,3,15,Harold Gunderson,0.050415,10,8,0.273864
S03E15,3,15,Daniel Hardman,0.002727,11,2,0.003427
S03E16,3,16,Harvey Specter,0.47437,1,0,0.426735
S03E16,3,16,Harold Gunderson,0.419051,2,-6,0.196556
S03E16,3,16,Mike Ross,0.404799,3,1,0.395548
S03E16,3,16,Louis Litt,0.216762,4,1,0.308112
S03E16,3,16,Dana Scott,0.211721,5,-3,0.175866
S03E16,3,16,Donna Paulsen,0.142962,6,2,0.177429
S03E16,3,16,Rachel Zane,0.107585,7,1,0.124665
S03E16,3,16,Jessica Pearson,0.072865,8,3,0.16898
S03E16,3,16,Daniel Hardman,0.003781,9,1,0.004649
S04E01,4,1,Harvey Specter,0.499174,1,-1,0.470517
S04E01,4,1,Mike Ross,0.44543,2,-3,0.324221
S04E01,4,1,Louis Litt,0.223029,3,2,0.307289
S04E01,4,1,Donna Paulsen,0.218071,4,-2,0.127892
S04E01,4,1,Jessica Pearson,0.200671,5,2,0.151567
S04E01,4,1,Rachel Zane,0.179569,6,2,0.138416
S04E01,4,1,Katrina Bennett,0.046527,7,0,0.12462
S04E01,4,1,Daniel Hardman,0.007438,8,1,0.004916
S04E02,4,2,Louis Litt,0.482075,1,-1,0.391291
S04E02,4,2,Harvey Specter,0.438007,2,-2,0.419287
S04E02,4,2,Jessica Pearson,0.181164,3,0,0.245543
S04E02,4,2,Rachel Zane,0.128095,4,-2,0.147634
S04E02,4,2,Mike Ross,0.122435,5,4,0.350857
S04E02,4,2,Donna Paulsen,0.022642,6,1,0.154129
S04E03,4,3,Mike Ross,0.484706,1,-1,0.328759
S04E03,4,3,Louis Litt,0.46877,2,-1,0.442602
S04E03,4,3,Jessica Pearson,0.354795,3,-6,0.191666
S04E03,4,3,Harvey Specter,0.320681,4,3,0.413041
S04E03,4,3,Donna Paulsen,0.221675,5,-3,0.095177
S04E03,4,3,Rachel Zane,0.135239,6,1,0.118825
S04E03,4,3,Daniel Hardman,0.003529,7,-2,0.016857
S04E04,4,4,Harvey Specter,0.480435,1,0,0.423857
S04E04,4,4,Mike Ross,0.379136,2,0,0.436373
S04E04,4,4,Louis Litt,0.376962,3,0,0.394836
S04E04,4,4,Sheila Sazs,0.202424,4,-5,0.107379
